Produit,NoteP,NoteC,Pays,Commentaire
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,5,France,Bonjour   Je dois dire que je suis très satisfait de cet achat. Le disque dur est très facile à installer et fonctionne parfaitement avec mon ordinateur portable gamer. Les temps de chargement sont incroyablement rapides et la vitesse de transfert des données est exceptionnelle.  J'ai été impressionné par la capacité de stockage de 2 To de ce disque dur  qui me permet de stocker une grande quantité de données  de jeux vidéo  de films et de musique sans aucun problème.  Le design du disque dur est également très élégant et compact  ce qui le rend facile à transporter si besoin est. Il est également très silencieux  ce qui est un avantage considérable par rapport aux disques durs traditionnels.  Je recommande vivement ce disque dur SSD Crucial P3 de 2 To à tous les amateurs de jeux vidéo et à tous ceux qui cherchent à améliorer la performance de leur ordinateur portable. C'est un excellent choix pour augmenter la vitesse de transfert de données et pour augmenter la capacité de stockage.  En résumé  je suis très satisfait de mon achat de ce disque dur SSD Crucial P3 de 2 To pour mon ordinateur portable gamer et je le recommande vivement à tous les clients potentiels. Il est de qualité supérieure  facile à installer  offre une grande capacité de stockage et représente un excellent rapport qualité-prix.  Cordialement 
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,5,France,Pour le prix  franchement  rien à dire. Même si je n'atteins pas les 3500Mo/s. Couplé avec un Dissipateur Thermique EZDIY-FAB  Je ne dépasse pas les 35° à pleine charge. Partitionné en deux pour l'OS et le stockage. Monté sur une MSI B550 Gaming plus  reconnu au premier démarrage. Macrium Reflect pour le clonage à partir de mon ancien disque système SSD. Tip-top.
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,5,France,RAS si ce n'est qu'il semble chauffer beaucoup dans un boitier externe  prévoir une bonne ventilation maintenant savoir si il chauffe plus qu'un plus petit ou une autre marque.....  coté performance je peux simplement dire qu'il semble équilibré en lecture/ecriture tout depend sur quoi il est branché et comment il est réglé pour ma part c'est sur un boitier externe ACASIS TBU405. (voir mon commentaire 4 étoiles a ce sujet) la vitesse en TB3 est bien sur tres supérieur a l'usb3.1 gen2  voir la temperature (icic un Mac mini 2018) on voit le disque a la ref CT4000... le disque est au repos et la temperature est nettement supérieure au autres disques  mais cela vient de la connexion TB qui comme avec le Mac mini est la plus haute de toute  si on branche le boitier en USB 3.1 gen2 la temperature baisse de 11° par rapport au Thunderbolt que ce soit a l'arrêt ou en gros transfert mais a ce moment on perd en performance  a part le probleme de chauffe qui oscille entre 46 et 60° en ThunderBolt l'ensemble est compatible et s'installe sur un Mac en 2 clic beaucoup d'article signalait ce disque moins cher que d'autres mais incompatible avec les boitiers USB4  avec l'acacia TBU405 ca fonctionne parfaitement
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,5,France,couplé avec un" be quiet ! MC1 M.2 SSD Cooler Heatsink" ; je n'ai rien a redire pour le moment  facile à installer  bonne capacité  je ne peux malheureusement pas noté la longévité car je ne l'ai que depuis une semaine  en tout cas pour l'instant ça fait le taf ^^  j'avais deja un p3 de 1T donc j'ai voulu remettre un peu plus  les jeux prennent beaucoup de place ^^
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,5,France,Installé sur la carte mère du pc de ma fille  il est impressionnant (testé à 3500 mo/sec en lecture via crystaldiskmark)  ma fille est contente de voir ses jeux se charger instantanément... Je recommande  je l'ai payé 67 euros à la commande  à ce jour il est encore moins cher  foncez !
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,5,France,Reçu il y a 2 jours et installé sans soucis. Rapport qualité prix au Top. Après installation sous Windows  penser à lancer l'utilitaire de gestion des partitions pour formater le disque car sans cela il n'apparaît pas et vous pourriez penser qu'il ne fonctionne pas... Très satisfait ! Pour la longévité on verra plus tard :-)
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,5,France,Commandé pour ajouter un 2ieme disque PCIe dans un PC ACER HELIOS 300 De base le PC a un disque PCIe de 1To Il y a un 2ieme slot PCIe vide Ce disque de 2To fonctionne parfaitement dans le 2ieme slot
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,France,ATTENTION article reçu ne correspond pas au produit les disques durs sont des 3TO au lieu de deux disques de 12TO!
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,France,Je pensais que pour un produit de ce type recommandé par mon entourage  je serais satisfait!!!! Quelle deception! tout est en plastique  et le bruit de ce NAS n'est pas acceptable  obligé de le changer de piece pour etre tranquille  et meme les portes fermées on l entends encore! J y ai monté des disques Ironwolf la aussi sur recommandation! Euh sont encore pire en grattage.  Je pense honnetement tout remonter dans mon ancien NAS metallique  vieux de 10ans mais au moins silencieux  je ne recommande absolument pas ce produit a plus de 350 boules pour trois plaques de plastiques  tres décu
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,France,Le produit est très bien mais les applications sont vraiment de mauvaises qualités. Exemple: - Photo Station change la date de création des photos (pas super pour le rangement)  reconnaissance des visages très mauvais. - Moments ne reconnaît pas bien les visages. - DS Vidéos: Arrive rarement à retrouver les bonnes informations pour les films (du coup rangement pourri)
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,France,Impossible d'adapter ce Nas à mon entreprise  le matériel livré avec les disques intégrés avait un mot de passe  inconnu. Le N° de série ne correspondait pas entre le bon de garantie et le matériel !! Le N° contact de synogie m'a envoyé promener pour une aide  (allez voir amazon) Am
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,Royaume-Uni,The install software won't run so the thing is useless. I can see it on my network but not a hope of getting it to work and their customer support doesn't exist. It is going back unless Amazon read this and do something about it. Fat chance. Useless customer support and dreadful setup software. Why can't these clowns use a standard downloaded install program instead of something that looks like a file from Adobe and refuses to work. The customer support procedure is designed to make contact with a real person completely inaccessible  and their software does not allow NTFS file access. Not for me and it is going back. It never worked.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,Belgique,Bonjour  C'est la première fois que j'ai sur un problème sur un produit vendu en direct par Amazon  c'est aussi très récemment que je suis passé chez amazon.com.be. Je ne sais pas si il faut faire un lien mais bon. Voilà le descriptif du problème. J'ai trouver l'offre alléchante  2 HDD de 12To dans un Synology DS220+ pour 838.43€. À la réception de la commande  je vois que le carton a été malmené  au déballage du Synology  des petits plots en plastiques tombent hors du boîtier  je constate également que les HDD sont déjà montés dans les baies  à ma grande surprise se sont 2 HDD de 4To qui sont montés dedans. Cette config est à 599€ avec ces disques là... Je vois aussi que le transport n'a pas épargné l'appareil. Car le connecteur S-ATA d'un des disques avait l'air fortement plié. Voilà  pour le coup faites attention à cette offre. En regardant de plus prêt  l'entête de l'annonce ne correspond pas au descriptif détaillé du produit vendu. C'est une grosse déception pour ma part. Je vais commander plus prudemment même quand il s'agit d'une offre Amazon...Je n'ai pas l'habitude de faire ce genre de chose mais deux collègues à moi ont commander chez CoolBlue et n'ont eu aucune surprise. Pour le prix affiché vous avez droit à deux HDD de 8To.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,Allemagne,Wer in seinem Leben unendlich viel Zeit für die Administration seiner drei Daten  mindestens 36 Semester Informatik studiert hat  sich gerne seitenweise Nutzernamen  Email-Adressen  Passwörter und Codes und Abläufe notiert und sich gerne mit irgendwelchen Updates  die das gesamte System umstellen und den mühsam erlernten Ablauf  den irgendwelche Programmierer mit ihren Laptops in scheinbar niederländischen Coffeshops sich im akuten Sauerstoffmangel haben einfallen lassen nutzlos die Zeit vergeudet  der ist hier vollkommen richtig.  Wer darüber hinaus noch Spaß daran hat  seine Daten zu suchen  Überlauf-Emails  Verfalls-Emails  Veralterungs-Emails zu lesen  ständig die völlig überzogenen Zugangsdaten im Handy neu eingeben zu müssen  nur um mal eben kurz über die wirklich schlechte App etwas runterzuladen  wer seine Fotos in der noch schlechteren Photo-App auf seiner Festplatte im Synology-Datennirwana verlieren will  oder auch komplett alle Daten mit nur einem unvorsichtigen Klick  der hat an deser NAS sicher seinen Spaß.  Wer ab und zu einfach mal auf eine PDF zugreifen möchte  seine Daten auch für den Steuerberater zugänglich machen möchte und vom Handy aus mal ein Foto auf dem NAS aufrufen möchte  der sollte ganz klar die Finger von Synology lassen!  So einen Verhau von völlig wirren und absolut schlecht konzipierten Einzelprodukten habe ich das letzte Mal vor Jahrzehnten bei SAP erlebt. Unglaublich teuer  unglaublich schlecht!
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,Allemagne,Aufgrund von Testergebnissen und anderen Rezensionen fiel meine Wahl auf die DS220+  ich hatte zuvor ein in die Jahre gekommenes WD MyCloud EX2 NAS. Die angepriesene Unterstützung von Virtuellen Maschinen die für mich letztendlich ausschlaggebend war kein günstigeres NAS zu kaufen ist zwar gegeben aber die Leistung mehr als enttäuschend. Trotz RAM Erweiterung ist ein frisch installiertes Windows 10 schon langsamer als auf einem 10 Jahre alten Office PC. Da erwarte ich für den Preis doch einiges mehr. Somit geht das Gerät zurück  ich bleibe mit dem NAS bei der alten WD MyCloud EX2 und kaufe mir lieber für ~100€ einen gebrauchten HP Prodesk Mini dazu der zwar mehr Strom verbraucht  aber mich nicht regelmäßig in den Wahnsinn treibt.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,Allemagne,Ich hatte mich für die gebrauchte Alternative (Amazon Warehouse) entschieden. Als die Ware heliefert worden war  musste ich alles erst installieren  ist aber normal. Als dann die Produktdetails angezeigt worden waren  stand dort nicht  wie erwartet "DS220+"  sondern "DS213+". Also flux die Aufschrift auf dem Gehäuse kontrolliert. Dort stand eindeutig "DS220+". Also habe ich den Synology Support kontaktiert. Dieser hat mir bestätigt  dass nach Prüfung jemand in ein DS 220+ Gehäuse die Technik der alten 213+ eingebaut haben muss. Leider war bei Amazon keine Kontaktaufnahme möglich und das Gerät geht wieder zurück. Fühle mich betrogen!
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,1,Royaume-Uni,This product does not work. Although it cost over £300 what nothing tells you is that you also need the equivalent of memory cards to make it work. I can see NOWHERE pointing this out. I left it for an engineer and waited three weeks to find that nothing can be done without. Why neither Amazon nor Synology point this out stuns me. If I buy a laptop I assume that a motherboard and hard drive are already in there.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,France,NAS arrivé dans le délai prévu. Au moment de mettre en service 1 seul disque fonctionne. Connaissant bien ce type de matériel je sors le disque défectueux et là surprise : le disque est en biais avec les ergots d'une des glissières de maintien cassé et forcé dans son logement. J'ai donc réparé la glissière  repositionné correctement le disque et tout est reparti nickel. Attention : ce n'est pas le matériel qui est en cause mais le prestataire qui monte les disques. Je poste cet avis également pour la garantie.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,France,Je ne sais pas pourquoi j'ai reçu mon nas avec un câble d'alimentation britannique au lieu d'un câble européen? Avez vous une idée? Je suis obligé de commander un câble européen pour profiter du produit  dommage.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,France,Très complexe pour un néophyte. Lent  interface mobile inutilisable. Pas de doc utilisation.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,Royaume-Uni,I bought a Synology 220+ in Aug 2020 through Amazon UK. On Dec 22 the 12v 5a power supply failed. I tried a different cable and tried another power supply on the NAS - which worked fine - proving absolutely that the supplied power supply was broken. I went on my Amazon order page and picked "get product support" and selected the chat option. Over the next nearly thirty minutes I dealt with robots  automatic answers etc and finally got through to someone called Mohammed. After repeating over and over that I simply wanted the external power supply replaced as it was faulty he put me on hold then came back and told me they couldn't deal with it  I had to go directly to the manufacturer  and he gave me their phone number. This would have taken me 10 seconds on google  instead Amazon chat wasted 30 mins of my life.  So I then went to the Synology web site and clicked chat under product support. I explained my simple request again to someone called Craig (at least Synology had people answering their chat line  unlike Amazon) who told me that all part replacement and warranty issues had to be dealt with by Amazon! He said all I could do was go back to Amazon and try again!  So I went back to Amazon product support and this time requested a call back  which came in a few minutes. I AGAIN explained the simple issue to someone called Fe  who put me on hold and then came back to tell me that she couldn't do part replacements - she had "no option" for that.  I was told I could return the whole unit for an eventual replacement  which would mean offloading 3tb of data  packing it up  somehow getting it shipped to them in the middle of a pandemic and being without the storage for weeks  possibly months.  The only other option was to take a small refund and use it to try and buy my own replacement power supply somewhere else. So here I am  after an hour and half of typing and phone calls  now starting to look to source my own power supply. Totally ridiculous.  I chose Synology over QNAPS because they had a good reputation for support. And the shame of it is unit is good  I'm very pleased with it (when it has power to actually run!). But there is no doubt that Amazon and Synology need to get their systems and stories straight and stop passing the buck back and forth while wasting their customers time. And the inability to supply even a simple replacement part like this through Amazon will make me think twice about buying tech through them again.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,Suède,Tänkte använda denna NAS till att strömma musik till min musikanläggning via LMS. Tydligen har denna möjlighet upphört  se svar från Synology: "Hello  Thank you for contacting Synology. Unfortunately  since DSM 7 we no longer support Logitech Media Server which is why you're having issues accessing it via your DS220+." Hade varit bra att veta innan köpet. Fungerar dock utmärkt från min gamla NAS och även via datorn. Får fortsätta slita på den och hoppas den håller ett tag till.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,Allemagne,Ich habe die NAS jetzt seit ca. 4 Monaten in Gebrauch. Mit PC-Erfahrung seit 1980 und vielen Freunden  denen ich bei schwierigen PC-Fragen helfe  komme ich trotzdem mit dem Betriebssystem nicht zurecht. Auch DSM 7 ist nix besser. Doch zumächst einige Basics  die mich außerdem ärgern. Die NAS ist vom Geräuschpegel nicht wohnzimmertauglich. Nutzer die das hier anders geschrieben haben  scheinen das nur bei laufendem Fernseher beurteilt zu haben. Der Lüfter läuft ständig  und läßt sich auch nicht auf Automatik stellen. Zudem kenne ich einige 80mm Silentlüfter die man wirklich nicht hört. Das verbaute Ding hört man immer. Etwas Metall als Kühlfläche und eine Automatikfunktion hätten für den Standbybetrieb Abhilfe geschaffen. Ich will meine Dateien in einem Hauptordner speichern  darunter z.B. einen Ordner mit "Multimedia" darunter dann "Bilder" "Musik" "Videos" . Dei Nutzung der entsprechenden Apps legt das Betriebssystem zwangsweise neue Ordner im Rootverzeichnis an. Entweder ich habe 2 x meine Musik auf der NAS und muß zusehen  dass ich die synchronisiert bekomme  oder meine strukturierte Verzeichnisaufteilung ist dahin. Mit Photos genaus das gleiche. Dazu werden noch irgendwelche Home und Homes Ordner angelegt  damit man seine Daten wirklich nicht mehr wiederfindet. Die Photo App ist seit DSM 7 besser  die Musikapp funktioniert  ist aber meilenweit vom Funktionsumfang von einen Squeezebox Server oder von JRiver entfernt. Nun zur Ordnerfreigabe. Ich habe mich nun seit Wochen immer wieder mit neuem Mut durch diverse Hilfetutorials und Videos durchgearbeitet  aber ich scheitere an der simpelsten Aufgabe. Tief in meinem Hauptordner sind Verzeichnisse für die Familie. Ich habe Benutzerkonten angelegt  und will nun meiner Tochter Lese/Schreibzugriff auf einen bestimmten Unterordner mit den weiter folgenden Unterordnern gewähren. Ich bin am verzweifeln. Von wegen  Ordner auswählen  Benutzer wählen und Lese/Schreibzugriff zuweisen und fertig. Nix da.....Ach ja  und wenn man Kontakt mit dem Support aufnehmen will  findet man nirgendswo die Möglichkeit ein Ticket zu erstellen. So kann man Service auch kaputt-organisieren. Die nächste NAS ist von Q-NAP. Soll ja noch mehr den Experten ansprechen  aber schlimmer kanns nicht sein.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,Allemagne,Es stand ein Upgrade meiner DS an. Ich nutze die Surveillance Station mit entsprechenden Kamera-Lizenzen. Die Lizenzen habe ich mit bzw. teilweise vor der „alten“ Diskstation erworben. Die Lizenzkarten liegen mir vor und dienen gemäß Aufdruck als Eigentumsnachweis.  Die Übertragung der Lizenzen ist laut knowledge base möglich; jedoch nur in der Theorie. Die Übertragungen treu nach Anleitung endet dem Fehler  dass die Lizenzen auf einer anderen DS installiert seien - obwohl sie dort gelöscht sind - und die Migration schlägt fehl.  Der Support ist leider nicht gewillt zu helfen und verlangt die alten Rechnungen als Kaufnachweis. Da zwischenzeitlich mit der neueren Surveillance-Version die Lizenzbedingungen so geändert worden seien. Von Amazon kann ich leider keine 5 Jahre alten Rechnungen mehr bekommen… (Support sagt lapidar  dass der VK zur Ausstellung alter Rechnungen verpflichtet sei - vielen Dank). Jetzt muss ich die Lizenzen neu erwerben  obwohl ich rechtmäßiger Eigentümer der Lizenzen bin und die Lizenzkarten mit dem aufgedruckten Eigentumshinweis habe.  Das ist Abzocke durch die Hintertür!
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,Allemagne,Hallo   Synology kann einfach keine Hardware. Ich weiß nicht was für Bauern dort am Start sind  aber es scheitert dort an lächerlichen Kleinigkeiten und es findet sich Niemand  der einen Bezug zur Physik hat.  Das versaut eine an sich solide NAS  die abgesehen von den für ein 2020er Modell nicht mehr zeitgemäßen Schnittstellen doch ein gutes Arbeitspferd abgibt.  Was bei dieser NAS gar nicht geht  ist der Lüfter. Diesen kann man in drei Modi betreiben: 1. Modus volle Geschwindigkeit 2. Kühlmodus 3. Stiller Modus  Beim Betrieb im Kühlmodus und Stiller Modus rattert der Lüfter leise  aber sehr nervtötend vor sich hin. Also gerade da  wo man seine Ruhe haben möchte.  Im Modus volle Geschwindigkeit rattert er nicht  ist aber deutlich zu laut. Von genau diesem Phänomen berichten viele Bewertungen.  Jeder "normale" Motor  abgesehen von Servos hat eine Mindestdrehzahl. Ich kann nur vermuten daß hier ein Lüftermotor mit ungeeigneter Wicklung ausgewählt wurde. Was auch immer der Grund ist: sowohl für die Nutzung in Wohnräumen  als auch wenn man die NAS irgendwann mal wieder verkaufen möchte  ist das ein no go.  Außerhalb der Garantiezeit würde ich tun was Synology nicht kann: einen geeigneten Lüfter verbauen. So aber werde ich wohl oder übel die Station tauschen müssen. Erst im Dezember online gekauft bei Saturn sollten anfängliche Kinderkrankheiten eliminiert worden sein. Synology rührt sich leider nicht.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,Allemagne,Habe mich für Synology entscheiden da es angeblich deutlich benutzerfreundlicher ist als QNAP. Hätte mir eigentlich einfach zu konfigurierende Software erwartet die auch funktioniert. Leider scheinen die zugehörigen Apps (zumindest für Android) mal zwischendurch von einem Praktikanten programmiert worden zu sein. Mit der Handysicherungsapp (Moments) vom Handy gesicherte Fotos (was so gut wie nie automatisch funktioniert und manuell angeregt werden muß) werden z.b. in lauter eigenen Ordnern mit dem Tagesdatum gespeichert  was eine sinnvolle Weiterverarbeitung und Archivierung am PC nahezu unmöglich macht. Auch der Zugriff aufs NAS gleich einem Glücksspiel: Entweder man entschließt sich es permanent laufen zu lassen  was aufgrund der Lüfterlautstärke (auch wenn nicht darauf zugegriffen wird und das NAS eigentlich nichts zu tun hat!!) im Wohnbereich eine Zumutung ist oder man verlässt sich aufs WOL  das nur funktioniert wenn es in der Stimmung dazu ist. Problem mit dem WOL tauchen auch in einigen Foren dazu auf was ich leider erst jetzt nach dem Kauf entdeckt habe.  Wenn ich nicht schon bei der Installation Berge von Daten aufs NAS kopiert hätte wäre es sicherlich schon auf dem Retourweg!
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,2,Allemagne,I can't stand the noise. With/without the harddrive  the tick-tick-tick will always be there.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,3,Allemagne, Bevor ich im Folgenden auf die DS220+ sowie die Migration der Daten von meiner DS213air eingehe (entspricht der J-Serie jedoch mit WLAN)  kurz zwei Dinge vor die Klammer gezogen: - Deutscher Schuko-Stecker dabei: Bei meiner Bestellung war ein "deutscher" Schuko-Stecker dabei (erstes Gerät am 15.8.20 direkt bei Amazon bestellt) - Lüfter tackert: Der Lüfter von meiner DS220+ "tackert" im Ruhemodus (vgl. auch Video anbei). Da die DS220+ im Wohnzimmer stehen soll  hatte ich die DS220+ gegen einen Ersatz von Amazon ausgetauscht. Leider mit diesem Ersatzgerät das gleiche Ergebnis. Zwischenzeitlich hatte ich mir beim örtlichen Elektronikfachmarkt noch eine DS218+ zum Vergleich geholt. Erstaunlicherweise war diese von der Grundgeräuschkulisse auch im Ruhemodus deutlich unangenehmer mit einem extrem "rauen" Betriebsgeräusch des Lüfters. Ich habe jetzt deshalb jetzt die zweite DS220+ erstmal behalten und eine Support-Ticket direkt bei Synology aufgemacht (deshalb bisher auch nur 3 Sterne). Wenn man ein bisschen googelt  scheint das Problem mit dem "tackernden" Lüfter auch bei anderen Modellen der 20er-Serie aufzutauchen  MIgration von der DS213air: - Geplant war  die 2 x 2TB-Platten aus der "alten" Diskstation einfach in die neue einzuschieben. Im Vorfeld hatte ich mich dazu auf der Synology-Seite informiert und gelernt  dass diese Migration zwischen der DS213air und der DS220+ nicht möglich sei. In der Folge hatte ich alles penibel per HyperBackup und zusätzlicher Einzeldatei-Kopie gesichert. - Zu meiner positiven Überraschung hat dann aber nach Einbau der Festplatten in die DS220+ [schauen  dass man die Festplatten mit der gleichen Nummerierung wieder reinschiebt (I und II)] das System erkannt  dass es sich um Festplatten der DS213air handelt und mir sogar die Migration angeboten. Ich hatte dann aber vorsichtshalber auf Neuinstallation geklickt  um das System sauber aufzusetzen. Die Daten auf der Platte wurden aber alle erhalten. Tolle Sache! Die Benutzer und Einstellungen z.B. zu den Betriebsmodi hatte ich wieder schnell gesetzt.  Zur DS220+: - Zur Installation: Die Installation der DS220+ ist sehr einfach. Auspacken  die beiden 3 5-Zoll Platten einfach in die beiden Halter einclipsen  in die Maschine schieben  Abdeckung vorne drauf  Strom- und Netzwerkkabel dran und einschalten. Dann im Browser die Maschine suchen und mit dem Web-Dialog einrichten. - Zur Geräuschkulisse: Wie gesagt  die DS220+ steht bei mir beim Router im Wohnzimmer. Deshalb habe ich relativ hohe Anforderungen an ein leises System. Wäre das Tackern vom Lüfter nicht  wäre das Betriebsgeräusch der DS220+ im Ruhemodus für mich völlig in Ordnung. Interessanterweise war die DS218+ von der Geräuschkulisse deutlich unangenehmer. - Zur Leistung: Grund für mich zu wechseln war die mangelnde Leistung der DS213air. Zwar läuft auch auf dieser DSM 6.2  allerdings dauert die Indizierung von Bildern und Videos (bei mir rund 1 TB) sehr lange. Die Performance der App "PhotoStation" war bescheiden. Hier bin ich von der DS220+ bisher begeistert. Ich lasse aber auch keine virtuellen Maschinen laufen oder nutze Plex.  Fazit: Für mich war das Upgrade richtig. Der Umstieg war komfortabel und die gewohnte DSM-Umgebung mit den Apps finde ich gut. Wenn noch das Problem mit dem Lüfter gelöst wird  wäre die DS220+ für meine Anforderungen 5 Sterne.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,3,Italie,Veloce elenco dei pro e contro. Pro: - veloce (lettura  scrittura e interfaccia di configurazione) - molte applicazioni per una gestione avanzata dei dati archiviati (archivio foto  musica  connessioni locali  remote  backup  e molto altro) Contro: - un grande difetto: la guida in linea spiega le cose in un modo incomprensibile. Certo  io non sono uno smanettone  però è da almeno 10 anni che uso dei NAS  e le configurazioni di base (ftp  inoltro porta) sono sempre riuscito a gestirle. Da molte recensioni su questo Synology  ogni configurazione sembrava un gioco da ragazzi. Bene  sarò duro io  ma qui per le 2 cose che gli voglio far fare (1.backup sul mio precedente NAS in rete locale  2.accesso ftp dei file da remoto) l'help è totalmente inadeguato: pagine e pagine per non dire niente. Non metto 1 stella  ma ben 2 perché è una guida molto articolata  gradevole a vedersi  ma alla fine mi ha fatto venire solo un gran nervoso.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,3,Allemagne,Mein zweites Synology NAS. Die Vorfreude war entsprechend groß - und die Erwartungen hoch. Bei solch einem stattlichen Preis darf man ja auch etwas für sein Geld erwarten.  Aber bald kam die Ernüchterung: alles billigstes Plastik. Darüber hätte ich aber noch hinweg schauen können....wäre da nicht swr klackernde Lüfter! Wie in vielen anderen Bewertungen bereits geschrieben klackert der Lüfter im „Stillen Modus“ und im „Kühlmodus“ so dermaßen nervig  dass das Gerät für den Wohnbereich absolut ungeeignet ist. Besonders schlimm ist es im Ruhemodus der Festplatten wenn nur noch der Lüfter läuft.  Kleiner Tipp am Rande: es nützt nichts die DS nach dem auspacken direkt ohne Festplatten einzuschalten und den Lüfter zu testen. Der dreht dann nämlich voll auf - das klackern ist aber ausschließlich in den niedrigeren Drehzahlbereichen bzw Einstellungen zu hören. Die DS muss also zum Testen in jedem Fall zuvor eingerichtet werden.  Kurzum: die DS ging wieder zurück (genauso wie eine 720+ mit exakt dem gleichen Problem). Das Problem scheint ein genereller Mangel der 2020er Reihe zu sein. Die Foren sind voll davon. Und Synology ist an keiner Lösung interessiert. Schade! Dass die Lüfter ohnehin nie sehr hochwertig waren ist ja bekannt  aber das ist wirklich zu viel des guten.  Fazit: für diesen Preis ein wirklich enttäuschendes Gerät! Ich bin zur Konkurrenz (Qnap) gegangen.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,3,Allemagne,Also zunächst vorweg: Das neue 220+ ist sicher ein tolles Gerät. Ich hab es mit zwei 10TB Festplatten von Western-Digital gekauft. Erster ärgerlicher Moment: Eine der Festplatten war defekt. Aber wir beschreiben hier das NAS  nicht die Festplatte. Nachdem die Ersatzplatte am nächsten Tag von Amazon da war  hab ich es natürlich gleich in Betrieb genommen und musste feststellen  dass von 10TB nur 8TB zur Verfügung stehen. Ich hab dann meine ganzen Videos  Bilder und Musikdaten zusammengetragen und Patsch: 8TB waren mir zu wenig. Sollte ich jetzt wieder neu rumbasteln? Kann ich das NAS ewrweitern? Gleich nach einer Woche? NEIN! Dieses NAS kann nicht erweitert werden! Ich hab es dann zurückgeschickt und den großen Bruder gekauft: DS920+. Der hat Platz für vier Festplatten und es gibt ein Erweiterungsgehäuse  in das nochmal vier rein passen. OK  ist ne Nummer teurer  aber besser angelegtes Geld.  Fazit: Wenn Dir zwei Festplatten reichen  dann ist das ein tolles Gerät mit schönen Funktionen (Multimediaserver für den zentralen Audio- und Videoserver usw.) Auch von unterwegs erreichbar  z.B. mit dem Handy. Hab jetzt alle meine Videos  Fotos und Audios immer am Handy dabei. Ist schon eine schicke Sache...
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,3,Inde,The NAS itself is good  but it should have drives included as per the money they charge.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,3,Allemagne,Im Vergleich zum vorherigen QNAP NAS das ich hatte  bin ich mit dem DS220+ aufgrund der Benutzerfreundlichkeit sofort auf Du und Du gewesen. Auch der Support von Synology ist beispielhaft. ABER der Lüfter: er ist entweder laut  oder er rattert oder manchmal läuft er gar nicht so wie heute wieder. Abschalten  einschalten  half nix. Erst beim dritten einschalten lief er wieder an. Also was jetzt? Defekt oder nicht defekt? Trotzdem ein Rattern vom Lüfter. Nachdem meine Festplatten SSDs sind kann das Geräusch natürlich nicht daher rühren  wie manch ein forums teilnehmer mich gefragt hat. Ich tausche es um da es erst 2 Wochen alt ist  und werde um Ersatz ansuchen.
SYNOLOGY DS220+ 2-Bay NAS-Case Intel Windows,4.8,3,Allemagne,Wie ist es möglich dass in der EU Apparate  mit nicht konformen Stecker geliefert werden????
